แต่|พี่|ให้|หลาย|ข้อ,พี่ให้??
เด่ว|พี่|ไป|ณ|แปป,ได้ๆ,ง่าาา,อื้อ
ตอน|ไหน|ก็ได้,อืมๆๆ
พี่|ก็|ไม่รู้|อ่ะ|เหอะ,กำ,อื้อ,งง,ฟิว,เออ,อ่าห่ะ
น้อง|เคย|ทำ|ยุ,ทำได้มั๊ย
มาบ|มด|ปี|นี้|ป่ะ,ค่ะ
แล้ว|กลับ|กี่|โมง|อ่ะ,3 ทุ่ม
เซ|โทรศัพท์|หาย|ยุ,จริงอะ
ก็|คิด|ไป|ได้|นะเนี่ย,เปล่าคิด
ใส|กระเป๋า|ละ|มัน|ลั่น|แหะๆ,จ้า
ส่ง|ราย|คน|หรอ|พึ่ง|รู้,รายคนดิ
ซ้อม|เล่นไพ่|แหะๆ,= = เดกดีจัง
ยุ|ไหน|อ่า,ซอย33อะ
ของ|การ์ตูน|อ่ะ,5 คน
เกด|ได้|ติว|เวล|ป่ะ,ติวจ้า,ไม่ๆ
พี่|กะ|ยุ|หอ|อ่ะ,หอ 37 คือออ
อะไร|สั้น,ไม่รู้อะ
เดือน|นึง|นี้|ทุกวัน|ป่ะ,ไม่หรอก
ตื่น|เร็ว|แฮะ,น้องไปรร
เปลือง|เกิน,ทำไรวะ
ใช้|พี่|เรอะ,ค่ะ
มิ|มัน|ร้อง|ด้วย|ป่ะ|เนี่ย,ไม่นะ
วันนี้|เรียน|เย็น|ใช่|ป่ะ,ช่ายยย
ทาง|นั้น|ฝน|ตกหนัก|ป่ะ,เหอะๆ
ฟิ|ลม|ถ่ายรูป,ปู้จายย
โอ้ย|นอน,บายยย
เฮ้อ|งาน|ไม่เสร็จ|สักที,อึ้บบ
ยิง|ดิ,เวลาแม่ง
เดี๋ยว|ก็|รู้,ชิ
ฝันดี|เช่นกัน|นะ,เอเลี่ยน,,ฝันดีค่ะะ,จ้า,ฝันดีๆ,ค่ะ,จ้าาาา,ฝัันดีเช่่นกััน จ้้า,เจอกานๆ,ค่าาาาา,ฝันดีค๊าฟฟฟฟฟฟฟฟฟ
ก็|ถ้า|ได้|ทีม|จะ|ถึง,ก้ไม่ได้ไงง
ต้องการ|ทีวี|สักหน่อย|ก็|ยัง|ดี,โครตเยอะ,หอเพื่อนๆๆ,จ้า
เดินทาง|กี่|นาที|ได้|อ่ะ,1ชม.ครึ่ง
อ่า|คง|ลบ|ล่ะ|นะ,ยังมั้งงง
คิด|ว่าน|ไป|สักพัก|แล้ว,อ่าฮะ,อือๆ
คง|ไม่|ล่ะ,อือๆ
ตาตุ่ม,ถุย
มิ|ม่อย,เออดี
เอา|เดี๋ยว|โทร,อ่าๆ
แล้ว|ที่ว่า|ตรวจ|นั้น|อะไร|อ่ะ,สุขภาพค.อ้วร
อยาก|ปิด|มั่ง,อ้าวว
พน|เหมือนเดิม,อาเคค
นี้|พี่|รบกวน|ป่าว,ป่าวงิ
ว่าง|เรอะ,อ่านคณิต
มึง|พึ่ง|ส่ง|โหลด,นานย
เค้า|ไม่ได้|พูด|ไร,หรอออ
ดู|เค้า|เล่น|ดอท,ที่ไหนๆ
กลับ|ตี|เลย|เร้อ,อื้อ
ของ|น้ำ|หมด|ละ|หรอ,เรียบร้อยย
อะ|ราย|ที|น่ะ,นาที
ดิ|จิ|เสร็จ|หมด|ยัง,กะลังทำ,หมดละๆ มั้ง,เกือบ,หมดละ
ก็|เล่น|หนุก|อ่ะ|ไม่ได้|เยอะ,ไปแปะ,หรอ
ขอตัว|แปป,อ่า
พฤศจิก|จ้า,โอเครๆ
ก็|จุฬา|อ่ะ,กะคัย,อ่าวว
ทู้,อือๆ
ลอง|หาด,หะ ==
อืมม|ทำ|อะไร|บ้าง|อ่ะ,เยอะ
ไม่เห็น|เลย|แฮะ,กำ 55
ไป|แข่ง|กีฬา|มหาลัย|มา|อ่ะ,อ๋อๆ
น้องๆ|โคตร|เยอะ|เลย|วันนี้,พี่*
โปร|หมด|ตีสอง|นะ,เอ้า
แถม|จุ|ไง,ไม่เอาอะ
เอ้|พูด|จริง,หึ
ใช้|รอย|ป่ะ|นั้น,ใช้ดิ
ติ|เน็ต|เสร็จ|เรียก|ละ|กัน,เสดละ
มัน|น่าจะ|มี|ปุ่ม|ปรับ,แสบตา
ทำงาน|ก่อน|ออ|ไว้|มา|ใหม่,อ่ะเคค่ะ
คำ|สุดท้าย|ได้ยิน|คิดถึง|ก่อน|วาง,อีบ้า
ละ|ช่วงนี้|ฝึกงาน|หรอ,ช่าย
ตูด|เป็น|ดี,หึ
อืม|แล้ว|ดีขึ้น|บ้าง|ยัง|อ่ะ,ไม่เลย
แล้ว|เห|อ่ะ,กินรัยยัง
ก็|ต้อง|ทำงาน|ไม่ใช่|หรอ,อื้มม   เล่นได้ๆ
ได้|อัน|ยาว|นั่นแหละ,อืมๆ
เจอ|โค|ซี|ยม|นะ,เอาเบอมิงมา
เสียใจ|ทีหลัง|รึ|งาย,555 ไม่อ่ะ 
ชิ|ตัน|ไง,ออ
แล้ว|เป็น|อะไร|ไป|อ่ะ,คนสวยถถถถุุ,ไม่รู้ดิ,ป่าวจ้า
ยุ|กับ|เม|เคน,ยุไหน,นี่,อะไรเคคคคคคคค
ของ|พี่|ก็|มี|ไม่|เยอะ,อ่าจ้าๆ,จริงดิ้
ยัง|ออก|ไม่|หมด|อ่ะ,ยางงง,อ่ออออ
พัน|ทิพ|หรอ,ไม่ใช่
ฝึกงาน|พี่|จบ|แล้ว,อ้าว
ซื้อ|เอง,หอสมุด
ชื่อ|หมวย|ป่ะ,ใช่จ้า
แค่|สั้น|ใช่,ใช่ๆ
งง|ด้วย|เหมือนกัน,เอ้าาา
ได้|โอเค|ยุ,เครนะ
วาด|เส้น|จำนวน,ไงต่อ
ทำงานทำการ|แระ,จ้ะ
อ่า|จอง|เลย|เถอะ,จองยังไง
อย่า|ให้|พูด|เรื่อง|เมื่อวาน,ทำแมะ
พึ่ง|จัด|กล้อง|มา,เหยดดดด,มีไลปะ
กว่า|แม่|พา|เจ|ไป,ป่าวๆ
จริง|ดิ|เหอะ,จริงดิ
ว่า|ใคร|จะ|ไม่ไหว|ก่อน|กัน,อือ
รอ|ไก่|กุ๊ก,สไกป์ ==;
ก่อนหน้านี้|มึง|ดู|มั้ย|เนี่ย,ร้องไห้
ของขวัญ,อะเครร
มี|คนอื่น|ทำให้|แล้ว,ป่าว
จะ|มี|วันที่|ชิว|สักวัน|มั้ย,หมดละไง
ใช้|โน้ต|บุ|หรือ|คอม|อ่ะ,คอม
ป่าว|ก็ดี|ให้|เดา|ไม่ใช่|หรอ,เดาว่า
ยุ|บ้าน|ยัง,อือ
กุ|นี่|ไม่|พี|อนุ,คือ
บ้าน|พี่|มี|แผ่น|ซิม|สาม,ไอยะะ
แล้ว|เห็น|ให้|ออน,นานละ,อ่อคับ
ติด|ตรงไหน|บอก|ละ|กัน|นะ,สไก เนม
กบ|เสร็จ|ละ|ดู|ด้วย|นะ,กบไรวะ,อย่ารีบบบบ
ฟรี|เลย,อ๋อ
ไม่มี|การบ้าน|แล้ว|หรอ,อะไร,ช่ายยยย,ช่ายย,เดี๋ยวทำ,ชีทไหน,น่าจะไม่
ดีล|ไว้|เป็น|เพื่อนเล่น|กัน,ม่ายยยยยยยยยยยยยย
ฝันดี|เช่น|กาน,เพ้อเจ้อ,จ้า
แถว|นั้น|เย็น,ไม่อะ
เออ|อ่าน|ไม่ผิด,ทำไม?
อิ่ม|อะไร|น่ะ,จบยัง,ครีมงับ
มัน|เออ|เหมือนเดิม|อ่ะ,แปป
พูด|แต่|เรื่อง|กง|กิน,ฮ่าๆ
พี่|ทำงาน|ที่ไหน|หรอ,พาโนราม่า
งั้น|ก็|เลื่อน|ไปดู|ด้านบน,อ่านละ
เสร็จ|หน้า|ดี้|ไง,เสร็จ
พูด|จิง|หิว,โห่ววววว
อยาก|ระบาย|ก็|จัด|ได้|เลย,อ่าๆแตงกิ้ว
แถว|บ้าน|เรียก|เฉ|อก,เอ้า,ป่าว
เกษตร|นี้|มัน|จริงๆ,ทำไมๆ
น่ากลัว|จุง,ดีๆ
บอก|แม่|ก่อน|นะ,บอก?
เห|พอ,จ้ะ55555
ได้|เที่ยว|งี้|ครั้งแรก,อ่ออ สบ๊ายย
เรา|เหลือ|พละ,อื้อ
แสนรู้|จริงๆ,ค่อยไป
ตอนนี้|ว่าง|เกิน|สิ|นะ,ก้ดี,ไม่ใช่ๆ
เอาเถอะ,มาเถอะๆๆ
ไม่|ชอบ|ดู|ซับ|เลย|หรอ,หมายถึง ?,ชอบบ,ช่าย
น่าจะ|โอเค|ล่ะ,โอเคครับ
ช่าย|เด่,คือ = =
ชิง|พัก|ชั้น|ไหน|อ่ะ,หก
ส่ง|มา|ใน|แชท|ก็ได้,อยู่วัด,งง,อะเค
ปิดเทอม|ใหญ่,อ่าฮ่ะ
ร้อน|โคตร,เดี๋ยวดำ 555
วันที่|เด๋ว|รู้|เลย,รุ้ไรๆๆ
แกล้ง|เด็ก|สนุก,นิสัยเสีย
เธอ|เรื่องจริง|เนี่ย,a เล็กสุด
อยู่|บ้าน|อย่าง|เดียว|หรอ,ใช่แระ
เคย|ชนะ|ด้วย|ใช่|ป่ะ|นั่น,นั่นจิ ,งง,แย่ๆๆๆๆ,ยังไงอ่ะ
เตรียม|เรื่อง|ชุด|รด|พน,อื้อ
แล้ว|ใคร|คน|ถ่าย|อ่ะ,แปปป,อื้อ,เพื่อน,นอนล่ะ,ได้คนเดว,ผญ น่ารัก,เพื่อนไง,หนูไง
อืม|เจอกัน|พรุ่งนี้,คุย
ลืม|การบ้าน|ไป|เลย|เนี่ย,กำ,จดๆดิ
ใต้|ตึก|แดง|ใช่|มั้ย|ครับ,ใช่ดิ,โทรไปนะ
ประเทศไทย|ยัง|ไม่มี|เครื่อง|เว้ย,อ๋อ,กาก
ย้อม|อยู่,ช่ายย
ม่าย|จิง|งง,ใช่,5555555555จริงงงงง
อิ่ม|ทำไม|ต้อง|ตรง|แผลเป็น,อยากง้อ
แปรงฟัน|อบ,อืม
พี่|แค่|เล่น|เป็น|แต่|กาก,เกื้อน?,หุ่นยนชนะ?
ทำการบ้าน|กับ|อ่าน|เตรียม|สอบ|นี่แหละ,สู้ๆ 
น่าสนใจ,เคครับๆ
อันนี้|สด|ท้าย|หน้าตา|เป็น|ไง,รูปโลก
ก็|ใหม่|ยุ|แฮะ,ึคับ
ใช่|กุ|ก็|จด,ใช่แหละมั้ง
พี่|ดู|แค่|ภาค|แรก,อ่อออ
นั้น|เบื่อ|ป่ะ,ไม่อะ
เค้า|ไม่ใช่|ดู|ที่|หน้า,เออเนาะ
เปิด|ไม่ได้|โน้ต|เธอ|อ่ะ,ไหนบอก
ก็|เพื่อน|เค้า|ยัง|ไม่|ติดกัน,กำ
เห็น|ทำ|ข้อสอบ|แระ,มั่วๆ
หนาว|ไง|เลย|ต้อง|กิน|ร้น,อยู่ 71
เวล|แบ,หง่อววว
อ่าน|ของ|อาทิตย์|นี้|อ่ะ,อ๋อ
เรื่อง|คนอื่น|เวลา|คุย|หรือ|นิสัย,นิสัย
เหม่ง|มาก|เงียบ|ไป|เลย,แง่งงงงง
เรา|ยุ|หอ|ใน|อ่า,อ่อ อืม,อ๋อๆๆ
ถึง|ว่า|คุ้นๆ,พิมเเกินครับ,อ่า,ถึงว่าาร้ะ
ซ้อม|วันนี้|บ่าย|ไง,อื้อ
เอา|มาด|ได้,ได้ๆ
ราคา|จ้าง|แม่มด|น้อย,คงงั้นนน
เหม็น|เน่า|ว่ะ,อะไรรร
กลับกัน|หมด|ก่อน|ถาม|ไม่ทัน,กำเลยย
เอ้|ไม่ใช่|หรอก|เหรอ,นี้ๆๆ
ฟิว|ตาย|แล้ว|คับ,ทำไร,ครับ,เดี้ยง
ไปเที่ยว|ไหน|มา|ล่ะ|นั่น,เกาหลี,กินนนน
กลับมา|สระผม|อะไร|บ้าง|ยัง|อ่ะ,ยังง,ยัง
น้อย|มัก,ออ
จะ|สอบ|เข้าที่|ไหน|ต่อ|หรอ,มศว ค่ะ
